kind,id,occupation_title,task_text
onet,3377,Marriage and family therapists,"Counsel clients on concerns, such as unsatisfactory relationships, divorce and separation, child rea — Counsel clients on concerns, such as unsatisfactory relationships, divorce and separation, child rearing, home management, or financial difficulties."
onet,10310,Desktop publishers,Load floppy disks or tapes containing information into system.
micro,7927,Model makers metal and plastic,Compile production metrics — Gather and analyze key performance indicators
onet,3838,Engineering teachers postsecondary,Participate in campus and community events.
onet,12738,Coil winders tapers and finishers,Review work orders and specifications to determine materials needed and types of parts to be process — Review work orders and specifications to determine materials needed and types of parts to be processed.
onet,3552,Community health workers,"Monitor nutrition of children, elderly, or other high-risk groups."
onet,7706,Bailiffs,Maintain court docket.
micro,3164,Writers and authors,Set writing goals — Define and track writing milestones for the book series.
onet,11830,Electric motor power tool and related repairers,"Scrape and clean units or parts, using cleaning solvents and equipment such as buffing wheels."
onet,1032,Compensation benefits and job analysis specialists,"Research job and worker requirements, structural and functional relationships among jobs and occupat — Research job and worker requirements, structural and functional relationships among jobs and occupations, and occupational trends."
onet,3613,Lawyers,Present evidence to defend clients or prosecute defendants in criminal or civil litigation.
micro,6871,Rotary drill operators oil and gas,Prepare drill bit for operation — Inspect and clean the drill bit before starting the drilling process.
onet,2571,Zoologists and wildlife biologists,Coordinate preventive programs to control the outbreak of wildlife diseases.
onet,11815,Avionics technicians,Fabricate parts and test aids as required.
micro,1306,Conservation scientists,Evaluate collaboration opportunities — Identify potential partnerships with other organizations for conservation projects.
micro,8800,First-line supervisors of transportation and material moving workers,Identify safety compliance issues — Review safety protocols and identify potential compliance risks.
micro,8414,Stationary engineers and boiler operators,Perform shift handover briefings — Lead briefings to ensure knowledge transfer between shifts.
onet,12039,Automotive service technicians and mechanics,Test electronic computer components in automobiles to ensure proper operation.Related occupations — Test electronic computer components in automobiles to ensure proper operation.
onet,422,Construction managers,"Implement new or modified plans in response to delays, bad weather, or construction site emergencies — Implement new or modified plans in response to delays, bad weather, or construction site emergencies."
micro,8975,Locomotive engineers,Prepare training materials — Create and update training content for new or existing engineers.
onet,6016,Film and video editors,Review footage sequence by sequence to become familiar with it before assembling it into a final pro — Review footage sequence by sequence to become familiar with it before assembling it into a final product.
onet,12425,Electrical power-line installers and repairers,Replace or straighten damaged poles.Related occupations — Replace or straighten damaged poles.
onet,4235,Nursing instructors and teachers postsecondary,Mentor junior and adjunct faculty members.
onet,11370,Fence erectors,"Make rails for fences, by sawing lumber or by cutting metal tubing to required lengths."
onet,12202,Recreational vehicle service technicians,"Reset hardware, using chisels, mallets, and screwdrivers.Related occupations — Reset hardware, using chisels, mallets, and screwdrivers."
onet,6211,Physical therapists,"Record prognosis, treatment, response, and progress in patient's chart or enter information into com — Record prognosis, treatment, response, and progress in patient's chart or enter information into computer."
onet,826,Compliance officers,Issue licenses to individuals meeting standards.
onet,9788,Eligibility interviewers government programs,"Initiate procedures to grant, modify, deny, or terminate assistance, or refer applicants to other ag — Initiate procedures to grant, modify, deny, or terminate assistance, or refer applicants to other agencies for assistance."
micro,6875,Rotary drill operators oil and gas,Adjust drilling parameters — Modify drilling speed and pressure based on real-time data.
micro,2821,Craft artists,Research trending art trends — Identify current popular styles and techniques for craft artists
onet,11568,Explosives workers ordnance handling experts and blasters,Examine blast areas to determine amounts and kinds of explosive charges needed and to ensure that sa — Examine blast areas to determine amounts and kinds of explosive charges needed and to ensure that safety laws are observed.
micro,5502,Door-to-door sales workers news and street vendors and related workers,Create a checklist for sales readiness for door-to-door work — Develop a checklist to ensure all necessary skills and tools are in place before starting sales.
onet,5787,Editors,"Oversee publication production, including artwork, layout, computer typesetting, and printing, ensur — Oversee publication production, including artwork, layout, computer typesetting, and printing, ensuring adherence to deadlines and budget requirements."
micro,1509,School psychologists,Develop classroom activities — Design engaging activities that promote life skills development.
onet,903,Labor relations specialists,Select mediators or arbitrators for labor disputes or contract negotiations.
onet,12641,Manufactured building and mobile home installers,"Repair leaks in plumbing or gas lines, using caulking compounds and plastic or copper pipe.Related o — Repair leaks in plumbing or gas lines, using caulking compounds and plastic or copper pipe."
onet,11521,Service unit operators oil and gas,Monitor sound wave-generating or detecting mechanisms to determine well fluid levels.
onet,1080,Accountants and auditors,Review accounts for discrepancies and reconcile differences.
micro,4909,First-line supervisors of entertainment and recreation workers,Prepare performance feedback for managers — Compile performance feedback and development plans for entertainment and recreation supervisors.
onet,14997,Railroad brake signal and switch operators and locomotive firers,"Monitor oil, temperature, and pressure gauges on dashboards to determine if engines are operating sa — Monitor oil, temperature, and pressure gauges on dashboards to determine if engines are operating safely and efficiently."
onet,12247,Control and valve installers and repairers except mechanical door,"Mount and install meters and other electric equipment such as time clocks, transformers, and circuit — Mount and install meters and other electric equipment such as time clocks, transformers, and circuit breakers, using electricians' hand tools."
onet,2344,Environmental engineering technologists and technicians,"Decontaminate or test field equipment used to clean or test pollutants from soil, air, or water."
onet,4291,Library science teachers postsecondary,"Serve on academic or administrative committees that deal with institutional policies, departmental m — Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues."
onet,5749,News analysts reporters and journalists,"Review written, audio, or video copy, and correct errors in content, grammar, or punctuation, follow — Review written, audio, or video copy, and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines."
onet,8324,First-line supervisors of landscaping lawn service and groundskeeping workers,"Inspect completed work to ensure conformance to specifications, standards, and contract requirements — Inspect completed work to ensure conformance to specifications, standards, and contract requirements."
micro,7659,Engine and other machine assemblers,Inspect engine components — Check for wear and tear on critical engine parts during routine checks.
onet,687,Property real estate and community association managers,Confer regularly with community association members to ensure their needs are being met.
onet,6460,Audiologists,Evaluate hearing and balance disorders to determine diagnoses and courses of treatment.
onet,11044,Paperhangers,"Cover interior walls and ceilings of rooms with decorative wallpaper or fabric, using hand tools."
onet,6011,Camera operators television video and film,Stay current with new technologies in the field by reading trade magazines.
micro,2444,History teachers postsecondary,Coordinate extracurricular activities — Organize and promote student clubs and events.
onet,12680,Helpers installation maintenance and repair workers,"Position vehicles, machinery, equipment, physical structures, and other objects for assembly or inst — Position vehicles, machinery, equipment, physical structures, and other objects for assembly or installation, using hand tools, power tools, and moving equipment."
onet,5362,Commercial and industrial designers,"Prepare sketches of ideas, detailed drawings, illustrations, artwork, or blueprints, using drafting  — Prepare sketches of ideas, detailed drawings, illustrations, artwork, or blueprints, using drafting instruments, paints and brushes, or computer-aided design equipment."
onet,12034,Automotive service technicians and mechanics,"Follow checklists to ensure all important parts are examined, including belts, hoses, steering syste — Follow checklists to ensure all important parts are examined, including belts, hoses, steering systems, spark plugs, brake and fuel systems, wheel bearings, and other potentially troublesome areas."
onet,11005,Insulation workers floor ceiling and wall,"Move controls, buttons, or levers to start blowers and regulate flow of materials through nozzles."
micro,3853,Magnetic resonance imaging technologists,Safety protocol review — Verify radiation safety measures for staff and patients.
onet,11250,Helpers carpenters,Cover surfaces with laminated plastic covering material.
micro,9178,Passenger attendants,Provide feedback on passenger needs — Collect passenger input to improve transportation services.
onet,7871,Animal control workers,"Train police officers in dog handling and training techniques for tracking, crowd control, and narco — Train police officers in dog handling and training techniques for tracking, crowd control, and narcotics and bomb detection."
onet,6727,Acupuncturists,"Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxi — Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities."
onet,11661,Roustabouts oil and gas,"Unscrew or tighten pipes, casing, tubing, and pump rods, using hand and power wrenches and tongs."
micro,3445,Occupational therapists,Assist with administrative tasks — Process insurance claims and billing information.
onet,13540,Sewing machine operators,"Perform equipment maintenance tasks such as replacing needles, sanding rough areas of needles, or cl — Perform equipment maintenance tasks such as replacing needles, sanding rough areas of needles, or cleaning and oiling sewing machines."
onet,12130,Rail car repairers,"Align car sides for installation of car ends and crossties, using width gauges, turnbuckles, and wre — Align car sides for installation of car ends and crossties, using width gauges, turnbuckles, and wrenches."
micro,6112,Office clerks general,Process paperwork — Organize and file documents according to department guidelines.
micro,3646,Family medicine physicians,Review patient case notes — Analyze recent patient encounters to identify key concerns and recommend follow-up actions.
micro,8085,Printing press operators,Safety inspection — Verify safety protocols are followed during press operation.
micro,4771,Food preparation and serving related workers all other,Pack food portions — Divide prepared food into individual servings for guests.
onet,1844,Bioengineers and biomedical engineers,"Manage teams of engineers by creating schedules, tracking inventory, creating or using budgets, or o — Manage teams of engineers by creating schedules, tracking inventory, creating or using budgets, or overseeing contract obligations or deadlines."
onet,3267,Forensic science technicians,Testify in court about investigative or analytical methods or findings.
onet,1409,Computer user support specialists,Refer major hardware or software problems or defective products to vendors or technicians for servic — Refer major hardware or software problems or defective products to vendors or technicians for service.
micro,3165,Writers and authors,Interview industry experts — Prepare questions and conduct interviews with authors and industry professionals.
micro,2680,Tutors,Update student records — Maintain accurate student information in the system
micro,9407,Medical and health services managers,Audit compliance documents — Review health compliance records to ensure adherence to standards.
onet,2156,Petroleum engineers,Maintain records of drilling and production operations.
onet,3962,Chemistry teachers postsecondary,Write letters of recommendation for students.
micro,2796,Educational instruction and library workers all other,Assess learner needs — Review student progress and identify areas needing additional support.
micro,3645,Emergency medicine physicians,Audit emergency response time — Measure and report response efficiency
micro,4293,First-line supervisors of correctional officers,Review weekly performance reports — Compile and analyze reports on officer performance to identify trends and areas for improvement.
onet,11475,Derrick operators oil and gas,Start pumps that circulate mud through drill pipes and boreholes to cool drill bits and flush out dr — Start pumps that circulate mud through drill pipes and boreholes to cool drill bits and flush out drill cuttings.
micro,4108,Home health and personal care aides,Document care activities — Record all care interventions in the resident's care log.
onet,11482,Derrick operators oil and gas,String cables through pulleys and blocks.
micro,4552,Transportation security screeners,Verify compliance with safety protocols — Check that screening areas meet safety and accessibility standards.
onet,5579,Coaches and scouts,Oversee the development and management of the sports program budget and fundraising activities.
micro,4140,Orderlies,Documentation audit preparation — Prepare documentation for internal audits and compliance checks
micro,3891,Paramedics,Medical supply inventory check — Verify availability of essential medical supplies
micro,5699,Court municipal and license clerks,Prepare briefing materials for court submissions — Compile supporting documents for court filings
onet,2233,Electrical and electronics drafters,"Train students to use drafting machines and to prepare schematic diagrams, block diagrams, control d — Train students to use drafting machines and to prepare schematic diagrams, block diagrams, control drawings, logic diagrams, integrated circuit drawings, or interconnection diagrams."
onet,10549,Farmworkers farm ranch and aquacultural animals,"Provide medical treatment, such as administering medications and vaccinations, or arrange for veteri — Provide medical treatment, such as administering medications and vaccinations, or arrange for veterinarians to provide more extensive treatment."
onet,9612,Gambling cage workers,Follow all gaming regulations.
onet,9365,Demonstrators and product promoters,Train demonstrators to present a company's products or services.
onet,11043,Paperhangers,"Mark vertical guidelines on walls to align strips, using plumb bobs and chalk lines."
onet,4378,Art drama and music teachers postsecondary,"Keep abreast of developments in the field by reading current literature, talking with colleagues, an — Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences."
micro,5665,Brokerage clerks,Prepare meeting agendas — Compile and format meeting agendas for upcoming client calls.
onet,14742,Air traffic controllers,"Maintain radio or telephone contact with adjacent control towers, terminal control units, or other a — Maintain radio or telephone contact with adjacent control towers, terminal control units, or other area control centers to coordinate aircraft movement."
onet,10699,Carpenters,Maintain job records and schedule work crew.
micro,7253,Motorboat mechanics and service technicians,"Perform routine engine maintenance — Replace air filters, clean fuel injectors, and check oil levels on motorboats."
micro,1989,Religious workers all other,Organize community feedback sessions — Facilitate and record community input on religious workers' activities.
onet,2467,Surveying and mapping technicians,"Search for section corners, property irons, or survey points."
onet,560,Gambling managers,"Remove suspected cheaters, such as card counters or other players who may have systems that shift th — Remove suspected cheaters, such as card counters or other players who may have systems that shift the odds of winning to their favor."
