kind,id,score,blocker,recoverable_share,confidence,score_model_id,rubric_version
onet,10633,8,physical,0.03,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12562,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,6188,60,data_access,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,1561,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9545,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,7100,12,interpersonal,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7751,45,interpersonal,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,2448,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4908,75,judgment,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,2608,65,judgment,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,11597,5,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,2104,45,physical,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,3541,55,judgment,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,3831,40,interpersonal,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,4988,30,physical,0.2,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5069,3,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,3509,40,interpersonal,0.25,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,3902,10,interpersonal,0.05,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,8898,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5877,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,9210,65,data_access,0.4,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,373,80,none,0.55,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12175,12,physical,0.05,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,3034,45,interpersonal,0.3,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,9594,85,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12722,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,4243,25,interpersonal,0.15,medium,claude-fable-5,v2.0-0bc6e57d39a2
micro,5937,88,none,0.6,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,12527,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,7681,1,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,4601,55,interpersonal,0.35,medium,claude-fable-5,v2.0-0bc6e57d39a2
onet,14873,2,physical,0.01,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,5044,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,15256,8,physical,0.04,high,claude-fable-5,v2.0-0bc6e57d39a2
onet,9005,5,physical,0.02,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,7090,90,none,0.65,high,claude-fable-5,v2.0-0bc6e57d39a2
micro,466,75,none,0.5,high,claude-fable-5,v2.0-0bc6e57d39a2
