kind,id,occupation_title,task_text
onet,1,"Chief executives","Direct or coordinate an organization's financial or budget activities to fund operations, maximize i — Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency."
onet,2,"Chief executives","Confer with board members, organization officials, or staff members to discuss issues, coordinate ac — Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems."
onet,3,"Chief executives","Prepare budgets for approval, including those for funding or implementation of programs."
onet,4,"Chief executives","Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ens — Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity."
onet,5,"Chief executives","Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, — Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services."
onet,6,"Chief executives","Implement corrective action plans to solve organizational or departmental problems."
onet,7,"Chief executives","Analyze operations to evaluate performance of a company or its staff in meeting objectives or to det — Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change."
onet,8,"Chief executives","Direct or coordinate activities of businesses or departments concerned with production, pricing, sal — Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products."
onet,9,"Chief executives","Direct human resources activities, including the approval of human resource plans or activities, the — Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments."
onet,10,"Chief executives","Appoint department heads or managers and assign or delegate responsibilities to them."
onet,11,"Chief executives","Interpret and explain policies, rules, regulations, or laws to organizations, government or corporat — Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals."
onet,12,"Chief executives","Review reports submitted by staff members to recommend approval or to suggest changes."
onet,13,"Chief executives","Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies — Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities."
onet,14,"Chief executives","Establish departmental responsibilities and coordinate functions among departments and sites."
onet,15,"Chief executives","Deliver speeches, write articles, or present information at meetings or conventions to promote servi — Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives."
onet,16,"Chief executives","Serve as liaisons between organizations, shareholders, and outside organizations."
onet,17,"Chief executives","Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or — Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes."
onet,18,"Chief executives","Preside over, or serve on, boards of directors, management committees, or other governing boards."
onet,19,"Chief executives","Attend and participate in meetings of municipal councils or council committees."
onet,20,"Chief executives","Organize or approve promotional campaigns."
onet,21,"Chief executives","Nominate citizens to boards or commissions."
onet,22,"Chief executives","Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify — Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings."
onet,23,"Chief executives","Direct or coordinate activities of businesses involved with buying or selling investment products or — Direct or coordinate activities of businesses involved with buying or selling investment products or financial services."
onet,24,"Chief executives","Prepare bylaws approved by elected officials, and ensure that bylaws are enforced."
onet,25,"Chief executives","Make presentations to legislative or other government committees regarding policies, programs, or bu — Make presentations to legislative or other government committees regarding policies, programs, or budgets."
onet,26,"Chief executives","Review and analyze legislation, laws, or public policy and recommend changes to promote or support i — Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups."
onet,27,"Chief executives","Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting."
onet,28,"Chief executives","Refer major policy matters to elected representatives for final decisions."
onet,29,"Chief executives","Direct or conduct studies or research on issues affecting areas of responsibility."
onet,30,"Chief executives","Administer programs for selection of sites, construction of buildings, or provision of equipment or  — Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies."
onet,31,"Chief executives","Represent organizations or promote their objectives at official functions, or delegate representativ — Represent organizations or promote their objectives at official functions, or delegate representatives to do so."
onet,32,"General and operations managers","Review financial statements, sales or activity reports, or other performance data to measure product — Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement."
onet,33,"General and operations managers","Direct and coordinate activities of businesses or departments concerned with the production, pricing — Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products."
onet,34,"General and operations managers","Direct administrative activities directly related to making products or providing services."
onet,35,"General and operations managers","Prepare staff work schedules and assign specific duties."
onet,36,"General and operations managers","Direct or coordinate financial or budget activities to fund operations, maximize investments, or inc — Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency."
onet,37,"General and operations managers","Plan or direct activities, such as sales promotions, that require coordination with other department — Plan or direct activities, such as sales promotions, that require coordination with other department managers."
onet,38,"General and operations managers","Perform personnel functions, such as selection, training, or evaluation."
onet,39,"General and operations managers","Establish or implement departmental policies, goals, objectives, or procedures in conjunction with b — Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members."
onet,40,"General and operations managers","Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services w — Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits."
onet,41,"General and operations managers","Manage the movement of goods into and out of production facilities to ensure efficiency, effectivene — Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations."
onet,42,"General and operations managers","Set prices or credit terms for goods or services, based on forecasts of customer demand."
onet,43,"General and operations managers","Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inven — Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory."
onet,44,"General and operations managers","Develop or implement product-marketing strategies, including advertising campaigns or sales promotio — Develop or implement product-marketing strategies, including advertising campaigns or sales promotions."
onet,45,"General and operations managers","Direct non-merchandising departments of businesses, such as advertising or purchasing."
onet,46,"General and operations managers","Implement or oversee environmental management or sustainability programs addressing issues such as r — Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management."
onet,47,"General and operations managers","Plan store layouts or design displays."
onet,48,"General and operations managers","Recommend locations for new facilities, or oversee the remodeling or renovating of current facilitie — Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities."
onet,49,"Legislators","Analyze and understand the local and national implications of proposed legislation."
onet,50,"Legislators","Appoint nominees to leadership posts, or approve such appointments."
